landmark,address,lat,lon,desc
Shakespeare and Company,12 rue de l'Odéon,48.85107556,2.338503993,
American Library in Paris,10 rue de l’Elysée,48.86955027,2.317232627,
Gertrude Stein's Salon,27 rue de Fleurus,48.84699705,2.329268758,
Tour Eiffel,,48.85896303,2.2944813,
Café de Flore,172 boulevard Saint-Germain,48.85482237,2.332776261,
Les Deux Magots,6 place Saint-Germain des Prés,48.85448968,2.333149115,
Le Dôme Café,108 boulevard du Montparnasse,48.84481473,2.329831122,
Closerie des Lilas,171 boulevard du Montparnasse,48.84060964,2.336171946,
Dingo Bar,10 rue Delambre,48.84201061,2.328394487,
Natalie Barney's Salon,20 rue Jacob,48.85527527,2.335505715,
American Hospital of Paris,,48.89232316,2.272418885,
American Express Office,11 rue Scribe,48.87221098,2.330479929,
La Maison des Amis des Livres,7 rue de l'Odéon,48.8513538,2.338893271,